brand,product_name,original_price,discounted_price,rating,product_url,breadcrumbs,category
VOZO,4-Pc Lipsticks-104-105-106-202,Rs. 996,Rs. 175,N/A,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft--comfortable-matte-finish-liquid-lipsticks-104-105-106-202/30544473/buy,Home / Personal Care / Lipstick,Lipstick
Celestial,Long Lasting Lipstick - 5 ml,Rs. 599,Rs. 325,N/A,https://www.myntra.comlipstick/celestial/celestial-long-lasting-matte-bullet-lipstick---5-ml----brown-06/41599057/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-101-104-105-204,Rs. 996,Rs. 175,|21,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft--comfortable-matte-finish-liquid-lipsticks-101-104-105-204/30544470/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-101-102-103-105,Rs. 996,Rs. 175,|14,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft--comfortable-matte-finish-liquid-lipsticks-101-102-103-104/30544454/buy,Home / Personal Care / Lipstick,Lipstick
Blue Heaven,Set Of 10 Matte Love Lipsticks,Rs. 399,Rs. 259,|15k,https://www.myntra.comlipstick/blue+heaven/blue-heaven-set-of-10-matte-love-long-lasting-hydrating-mini-lipsticks---13g-each/22212908/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-102-104-105-202,Rs. 996,Rs. 175,N/A,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft--comfortable-matte-finish-liquid-lipsticks-102-104-105-202/30544472/buy,Home / Personal Care / Lipstick,Lipstick
Hilary Rhoda,Waterproof Liquid Lipstick 5ml,Rs. 269,Rs. 221,N/A,https://www.myntra.comlipstick/hilary+rhoda/hilary-rhoda-touch-of-mousse-waterproof-liquid-lipstick---5-ml---rosewood-red---shade-15/41047801/buy,Home / Personal Care / Lipstick,Lipstick
Maybelline,Lipstick - Maybe It's Intense,Rs. 599,Rs. 539,|1.1k,https://www.myntra.comlipstick/maybelline/maybelline-new-york-satins-8hr-serum-lipstick---maybe-its-intense-104/38548282/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-102-105-106-203,Rs. 996,Rs. 175,N/A,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft-and-comfortable-matte-finish-liquid-lipsticks-102-105-106-203/30544450/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipstick-102-104-106-201,Rs. 996,Rs. 175,N/A,https://www.myntra.comlipstick/vozo/-vozo-4-pcs-vibrant-matte-liquid-lipstick-4ml-102-104-106-201/30973556/buy,Home / Personal Care / Lipstick,Lipstick
Maybelline,Super Stay Matte - Founder 115,Rs. 749,Rs. 367,|19.4k,https://www.myntra.comlipstick/maybelline/maybelline-new-york-super-stay-matte-ink-liquid-lipstick-5-ml---founder-115/8051025/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-101-104-105-202,Rs. 996,Rs. 175,N/A,https://www.myntra.comlipstick/vozo/vozo-set-of-4-soft--comfortable-matte-finish-liquid-lipsticks-101-104-105-202/30544497/buy,Home / Personal Care / Lipstick,Lipstick
VOZO,4-Pc Lipsticks-101-103-104-105,Rs. 996,Rs. 175,|26,https://www.myntra.comlipstick/vozo/vozo-set-of-4-long-lasting-matte-finish-liquid-lipsticks-101-103-104-105/30544449/buy,Home / Personal Care / Lipstick,Lipstick
Maybelline,660 Touch Of Spice Lipstick,Rs. 329,Rs. 203,|126.2k,https://www.myntra.comlipstick/maybelline/maybelline-new-york-color-sensational-creamy-matte-lipstick---touch-of-spice-660/1963297/buy,Home / Personal Care / Lipstick,Lipstick
Pilgrim,4-Pcs Lipstick - Always On Top,Rs. 745,Rs. 260,|7.7k,https://www.myntra.comlipstick/pilgrim/pilgrim-set-of-4-matte-me-up-mini-liquid-lipstick---4-ml-each---always-on-top/31857367/buy,Home / Personal Care / Lipstick,Lipstick
Pilgrim,Lipstick- The Khalifa- 02,Rs. 645,Rs. 516,|9.1k,https://www.myntra.comlipstick/pilgrim/-pilgrim-3-d-glitter-formula-with-matte-finish-lipstick--42-g--the-khalifa--02/31826194/buy,Home / Personal Care / Lipstick,Lipstick
MARS,Matte Muse Mousse Lipstick,Rs. 299,Rs. 275,|29.8k,https://www.myntra.comlipstick/mars/mars-matte-muse-lightweight-mousse-lipstick-3ml---leading-lady/32051449/buy,Home / Personal Care / Lipstick,Lipstick
ETUDE,Dear Darling Water Tint - 4,Rs. 450,Rs. 382,|29.8k,https://www.myntra.comlipstick/etude/etude-dear-darling-water-tint-9g---red-grapefruit-ade-4/27916434/buy,Home / Personal Care / Lipstick,Lipstick
Lakme,Powerplay Priming Lipstick,Rs. 650,Rs. 260,|247.5k,https://www.myntra.comlipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-with-vit-e-lasts-16hr-36g---mp6-deep-wine/13105598/buy,Home / Personal Care / Lipstick,Lipstick
ETUDE,Dear Darling Water Tint - 02,Rs. 450,Rs. 405,|29.8k,https://www.myntra.comlipstick/etude/etude-dear-darling-water-gel-lip--cheek-tint-lipstick-9-g---cherry-ade-02/20474268/buy,Home / Personal Care / Lipstick,Lipstick
Pilgrim,Dubai Bling Lipstick- 04,Rs. 645,Rs. 516,|9.1k,https://www.myntra.comlipstick/pilgrim/pilgrim-dubai-bling-3d-glitter-formula-with-matte-finish-lipstick--42-g--arabian-nites-04/31826192/buy,Home / Personal Care / Lipstick,Lipstick
MARS,Love Track Velvet Lip Tint,Rs. 299,Rs. 275,|26.3k,https://www.myntra.comlipstick/mars/mars-love-track-velvet-lip-tint---28-ml---two-hearts/32048833/buy,Home / Personal Care / Lipstick,Lipstick
Lakme,Powerplay Priming Lipstick,Rs. 650,Rs. 273,|247.5k,https://www.myntra.comlipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-with-vit-e-lasts-16hr-36g---iconic-red/14095312/buy,Home / Personal Care / Lipstick,Lipstick
Lakme,Cushion Matte Lipstick,Rs. 375,Rs. 180,|28.5k,https://www.myntra.comlipstick/lakme/lakme-forever-matte-long-lasting-lipstick-with-french-rose-oil-ext-45g---mauve-love-cm7-/24822112/buy,Home / Personal Care / Lipstick,Lipstick
Pilgrim,Matte Bullet Lipstick - 33,Rs. 595,Rs. 476,|12.4k,https://www.myntra.comlipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof--smudgeproof-lipstick--cinnamon-lust-33/30593165/buy,Home / Personal Care / Lipstick,Lipstick
MARS,Creamy Matte Lipstick - 12,Rs. 199,Rs. 189,|48.6k,https://www.myntra.comlipstick/mars/mars-creamy-matte-ultra-pigmented-long-lasting-bullet-lipstick---khoobsurat-kuchipudi-12/23393674/buy,Home / Personal Care / Lipstick,Lipstick
Pilgrim,Matte Bullet Lipstick - 31,Rs. 595,Rs. 476,|12.4k,https://www.myntra.comlipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof--smudgeproof-lipstick---nude-kiss-31/30593162/buy,Home / Personal Care / Lipstick,Lipstick
Pilgrim,Matte Bullet Lipstick - 06,Rs. 595,Rs. 476,|12.3k,https://www.myntra.comlipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof--smudgeproof-lipstick---coco-caress-06/30593168/buy,Home / Personal Care / Lipstick,Lipstick
Mamaearth,Creamy Matte Pink Rose,Rs. 399,Rs. 356,|18.8k,https://www.myntra.comlipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter---pink-rose/28546554/buy,Home / Personal Care / Lipstick,Lipstick
Mamaearth,Moisture Matte Bright and Bold,Rs. 999,Rs. 549,|1.3k,https://www.myntra.comlipstick/mamaearth/mamaearth-set-of-3-moisture-matte-long-stay-lipstick--21-gm-each--bright--bold/31275878/buy,Home / Personal Care / Lipstick,Lipstick
